iter	RMSE
0	39.02413995
1	38.92412168
2	38.82669331
3	38.75914179
4	38.69031019
5	38.60574285
6	38.5122022
7	38.42644014
8	38.33693935
9	38.24457342
10	38.15445172
11	38.05101599
12	37.95077465
13	37.86798374
14	37.7925832
15	37.69276469
16	37.60100813
17	37.52364189
18	37.43428548
19	37.35497644
20	37.27955048
21	37.2068835
22	37.12632804
23	37.03328558
24	36.96513742
25	36.89945668
26	36.83882282
27	36.75007827
28	36.70534502
29	36.63628882
30	36.58110353
31	36.50234202
32	36.45874316
33	36.39904153
34	36.32069715
35	36.24423916
36	36.1780662
37	36.09546749
38	36.04367624
39	35.97462056
40	35.89009295
41	35.82777972
42	35.75925801
43	35.7145605
44	35.65019246
