iter	Passed	Remaining
0	135	135135
1	232	116243
2	362	120564
3	479	119288
4	576	114802
5	703	116615
6	817	115973
7	960	119097
8	1076	118543
9	1233	122132
10	1330	119621
11	1471	121185
12	1581	120103
13	1736	122264
14	1846	121227
15	1986	122161
16	2087	120694
17	2232	121776
18	2344	121037
19	2466	120874
20	2603	121382
21	2708	120395
22	2849	121031
23	2956	120216
24	3092	120608
25	3224	120795
26	3358	121026
27	3471	120521
28	3614	121027
29	3733	120709
30	3867	120880
31	3981	120454
32	4115	120606
33	4221	119949
34	4361	120256
35	4484	120092
36	4620	120262
37	4723	119579
38	4851	119557
39	4963	119132
40	5091	119090
41	5230	119311
42	5448	121267
43	5659	122968
44	5783	122743
45	5920	122795
46	6044	122565
47	6154	122067
48	6288	122044
49	6398	121567
50	6548	121846
51	6661	121447
52	6804	121588
53	6937	121526
54	7075	121565
55	7186	121152
56	7259	120107
57	7393	120074
58	7521	119965
59	7660	120013
60	7770	119620
61	7953	120330
62	8062	119908
63	8191	119807
64	8326	119778
65	8470	119873
66	8585	119554
67	8641	118436
68	8766	118288
69	8890	118116
70	9030	118155
71	9143	117850
72	9283	117893
73	9393	117541
74	9532	117568
75	9640	117211
76	9782	117264
77	9924	117313
78	10068	117377
79	10183	117107
80	10331	117213
81	10420	116657
82	10554	116610
83	10665	116309
84	10814	116412
85	10926	116130
86	10972	115146
87	11116	115202
88	11249	115153
89	11369	114961
90	11487	114753
91	11637	114858
92	11744	114536
93	11866	114368
94	11983	114160
95	12119	114127
96	12234	113891
97	12376	113912
98	12506	113818
99	12649	113841
100	12748	113476
101	12892	113506
102	12996	113181
103	13143	113239
104	13258	113011
105	13382	112864
106	13495	112628
107	13643	112689
108	13758	112463
109	13899	112458
110	14040	112449
111	14162	112286
112	14275	112055
113	14416	112044
114	14558	112037
115	14743	112355
116	14911	112540
117	15066	112614
